"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.042130866E1,6.503571240E1,2.554756770E1,NaN,NaN,NaN,NaN,3.819776355E-1,1.500000000E3,0.000000000E0,0.000000000E0
1.334498192E1,6.503851062E1,2.555228900E1,3.004511634E1,4.752374268E1,8.100000024E-1,2.545000000E2,3.824171615E-1,5.664072990E0,6.468855858E0,0.000000000E0
1.336453203E1,6.503850957E1,2.555227997E1,3.005927769E1,4.753790283E1,8.100000024E-1,2.545000000E2,3.842421865E-1,5.769929886E0,6.468855858E0,0.000000000E0
1.438207276E1,6.503852584E1,2.555227485E1,2.611542543E1,4.359405518E1,7.799999714E-1,2.436999969E2,3.851881758E-1,5.658672333E0,6.424180508E0,1.700000000E1
1.538271786E1,6.503853411E1,2.555227958E1,3.095850101E1,4.843713379E1,1.230000019E0,2.408000031E2,3.871631146E-1,5.557380199E0,6.805627346E0,1.800000000E1
1.638276036E1,6.503852671E1,2.555224132E1,2.856385365E1,4.604248047E1,1.470000029E0,2.491000061E2,3.928954465E-1,5.134915352E0,6.117987633E0,2.100000000E1
1.738430827E1,6.503851792E1,2.555212095E1,1.908193430E1,3.656054688E1,1.649999976E0,2.471000061E2,3.965570867E-1,3.886601448E0,2.599544525E0,2.100000000E1
1.838550661E1,6.503854374E1,2.555216938E1,3.143073752E1,4.890936279E1,1.250000000E0,2.486000061E2,4.033223061E-1,9.287244797E0,1.088162518E1,1.300000000E1
1.898905385E1,6.503849824E1,2.555207367E1,2.371927407E1,4.119787598E1,1.710000038E0,2.413999939E2,4.051016916E-1,3.865685463E0,4.550479412E0,2.000000000E1
1.999399827E1,6.503849656E1,2.555203596E1,2.208933435E1,3.956793213E1,1.330000043E0,2.495000000E2,4.065863969E-1,3.790092468E0,2.651611090E0,2.400000000E1
2.099329780E1,6.503849181E1,2.555200639E1,2.090574491E1,3.838433838E1,1.500000000E0,2.461000061E2,4.076967776E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.199255572E1,6.503848650E1,2.555198635E1,2.088884175E1,3.836743164E1,1.549999952E0,2.343000031E2,4.092496864E-1,3.790092468E0,2.500000000E0,2.600000000E1
2.298927020E1,6.503847882E1,2.555195871E1,2.030028478E1,3.777886963E1,1.240000010E0,2.361000061E2,4.111188104E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.399325786E1,6.503847085E1,2.555192364E1,2.083770518E1,3.831628418E1,1.889999986E0,2.328000031E2,4.128072864E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.499227494E1,6.503846456E1,2.555189089E1,2.042145051E1,3.790002441E1,1.490000010E0,2.488999939E2,4.145824642E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.599698822E1,6.503845522E1,2.555186021E1,2.034156134E1,3.782012939E1,1.720000029E0,2.371999969E2,4.161781862E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.699223197E1,6.503844840E1,2.555183029E1,1.990211321E1,3.738067627E1,1.610000014E0,2.365000000E2,4.179521233E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.798956098E1,6.503844113E1,2.555179664E1,1.978523638E1,3.726379395E1,1.590000033E0,2.453000031E2,4.195048636E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.899336801E1,6.503843439E1,2.555176766E1,1.958181108E1,3.706036377E1,1.509999990E0,2.390000000E2,4.210188744E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.999269645E1,6.503842753E1,2.555173979E1,1.976821726E1,3.724676514E1,1.480000019E0,2.428000031E2,4.225313452E-1,3.790092468E0,2.500000000E0,2.700000000E1
3.099090249E1,6.503842083E1,2.555171174E1,1.970028991E1,3.717883301E1,1.509999990E0,2.400000000E2,4.241167248E-1,3.790092468E0,2.500000000E0,2.700000000E1
3.199252087E1,6.503841324E1,2.555168314E1,1.989060263E1,3.736914062E1,1.529999971E0,2.386999969E2,4.257511781E-1,3.790092468E0,2.500000000E0,2.700000000E1
3.298891228E1,6.503840482E1,2.555165459E1,1.987089364E1,3.734942627E1,1.559999943E0,2.358000031E2,4.274238590E-1,3.790092468E0,2.500000000E0,2.700000000E1
3.399324775E1,6.503839587E1,2.555162594E1,2.000444411E1,3.748297119E1,1.590000033E0,2.353000031E2,4.292034266E-1,3.790092468E0,2.500000000E0,2.700000000E1
3.499255186E1,6.503838658E1,2.555159506E1,2.007201588E1,3.755053711E1,1.730000019E0,2.358999939E2,4.308912374E-1,3.790092468E0,2.500000000E0,2.700000000E1
3.599291051E1,6.503837780E1,2.555156572E1,2.025225826E1,3.773077393E1,1.429999948E0,2.365000000E2,4.325228222E-1,3.790092468E0,2.500000000E0,2.700000000E1
3.699194045E1,6.503836924E1,2.555153748E1,2.029578170E1,3.777429199E1,1.620000005E0,2.363999939E2,4.342917613E-1,3.790092468E0,2.500000000E0,2.900000000E1
3.799031946E1,6.503835977E1,2.555150719E1,2.026923727E1,3.774774170E1,1.710000038E0,2.363000031E2,4.360515601E-1,3.790092468E0,2.500000000E0,2.900000000E1
3.899176019E1,6.503835097E1,2.555147602E1,2.024586654E1,3.772436523E1,1.649999976E0,2.396000061E2,4.377818042E-1,3.790092468E0,2.500000000E0,2.900000000E1
3.999390717E1,6.503834298E1,2.555144438E1,2.030690723E1,3.778540039E1,1.679999948E0,2.408000031E2,4.394750262E-1,3.790092468E0,2.500000000E0,2.900000000E1
4.098807837E1,6.503833483E1,2.555141390E1,2.025875596E1,3.773724365E1,1.529999971E0,2.410000000E2,4.412267364E-1,3.790092468E0,2.500000000E0,2.900000000E1
