"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,6.501245790E1,2.550451340E1,NaN,NaN,NaN,NaN,2.320946174E-1,1.299999023E3,0.000000000E0,0.000000000E0
8.147709112E0,6.501111419E1,2.550073225E1,5.527499343E1,7.273901367E1,5.400000215E-1,0.000000000E0,2.329150533E-1,5.193503380E0,8.638240814E0,0.000000000E0
8.985769164E0,6.501110741E1,2.550073914E1,5.318551748E1,7.064953613E1,4.799999893E-1,0.000000000E0,2.365279732E-1,6.715901852E0,1.022066307E1,1.600000000E1
9.302697028E0,6.501108016E1,2.550078103E1,4.058334935E1,5.804736328E1,1.110000014E0,3.586000061E2,2.371575274E-1,4.208384037E0,8.488465309E0,1.600000000E1
9.318649320E0,6.501108582E1,2.550078070E1,4.054648215E1,5.801049805E1,1.110000014E0,3.586000061E2,2.409226005E-1,4.405093193E0,8.488465309E0,1.600000000E1
1.034242031E1,6.501105435E1,2.550075112E1,3.104661881E1,4.851062012E1,1.100000024E0,3.472000122E2,2.419223769E-1,4.301970482E0,7.521406174E0,3.200000000E1
1.134281672E1,6.501105024E1,2.550073219E1,2.647466204E1,4.393865967E1,9.499999881E-1,3.493999939E2,2.423664490E-1,3.790092468E0,5.113860607E0,2.600000000E1
1.233550328E1,6.501105161E1,2.550072331E1,2.475963574E1,4.222363281E1,8.299999833E-1,3.481000061E2,2.430431211E-1,3.790092468E0,4.295458794E0,3.000000000E1
1.334412031E1,6.501105769E1,2.550072270E1,2.360313952E1,4.106713867E1,1.289999962E0,3.591000061E2,2.441409181E-1,3.790092468E0,3.497247219E0,3.000000000E1
1.434102411E1,6.501106701E1,2.550071499E1,2.289995109E1,4.036395264E1,1.159999967E0,3.487999878E2,2.453325593E-1,3.790092468E0,3.184588909E0,3.000000000E1
1.533530708E1,6.501107763E1,2.550071159E1,2.290068016E1,4.036468506E1,1.409999967E0,3.535000000E2,2.465813936E-1,3.790092468E0,2.992800713E0,3.000000000E1
1.633978984E1,6.501108810E1,2.550070197E1,2.333512583E1,4.079913330E1,1.330000043E0,3.532000122E2,2.477911019E-1,3.790092468E0,2.968168259E0,3.000000000E1
1.733677067E1,6.501109883E1,2.550069772E1,2.359360642E1,4.105761719E1,1.340000033E0,3.525000000E2,2.492021659E-1,3.790092468E0,2.718887806E0,2.900000000E1
1.834644260E1,6.501111152E1,2.550069774E1,2.322201990E1,4.068603516E1,1.269999981E0,3.526000061E2,2.505420977E-1,3.790092468E0,2.528174877E0,3.000000000E1
1.933822140E1,6.501112357E1,2.550069794E1,2.356234765E1,4.102636719E1,1.220000029E0,3.526000061E2,2.517029822E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.033536062E1,6.501113401E1,2.550069784E1,2.368807640E1,4.115209961E1,9.499999881E-1,3.525000000E2,2.529896735E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.133759135E1,6.501114558E1,2.550069828E1,2.343270116E1,4.089672852E1,1.240000010E0,3.523999939E2,2.544176752E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.234214067E1,6.501115832E1,2.550070211E1,2.293416105E1,4.039819336E1,1.250000000E0,3.525000000E2,2.560389956E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.333702312E1,6.501117261E1,2.550070897E1,2.339808342E1,4.086212158E1,1.460000038E0,9.500000000E0,2.578280897E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.433856306E1,6.501118769E1,2.550072225E1,2.335614538E1,4.082019043E1,1.500000000E0,2.039999962E1,2.596134372E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.533985176E1,6.501120201E1,2.550073944E1,2.347888001E1,4.094293213E1,1.460000038E0,2.060000038E1,2.613521188E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.633282916E1,6.501121514E1,2.550075954E1,2.310710788E1,4.057116699E1,1.389999986E0,2.400000000E1,2.634154832E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.733819416E1,6.501123162E1,2.550077973E1,2.394792000E1,4.141198730E1,2.119999886E0,2.339999962E1,2.654162245E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.833824822E1,6.501124747E1,2.550079989E1,2.353647405E1,4.100054932E1,1.570000052E0,2.379999924E1,2.670465534E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.934066124E1,6.501125898E1,2.550082139E1,2.360049335E1,4.106457520E1,1.320000052E0,2.389999962E1,2.684616925E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.033930702E1,6.501126573E1,2.550084693E1,2.235769012E1,3.982177734E1,8.199999928E-1,2.420000076E1,2.700846944E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.134122504E1,6.501126937E1,2.550088039E1,2.236989195E1,3.983398438E1,1.440000057E0,7.130000305E1,2.720073960E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.234502290E1,6.501127294E1,2.550092044E1,2.257996900E1,4.004406738E1,1.360000014E0,8.150000000E1,2.737407142E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.333687952E1,6.501127574E1,2.550095674E1,2.276197060E1,4.022607422E1,1.179999948E0,8.100000000E1,2.753022297E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.433853025E1,6.501127838E1,2.550098939E1,2.318811331E1,4.065222168E1,1.110000014E0,8.080000305E1,2.769377464E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.533750931E1,6.501128057E1,2.550102382E1,2.287811095E1,4.034222412E1,1.299999952E0,8.900000000E1,2.786271367E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.634002020E1,6.501128215E1,2.550105959E1,2.251970776E1,3.998382568E1,1.250000000E0,8.909999847E1,2.804878636E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.733850103E1,6.501128450E1,2.550109881E1,2.336033955E1,4.082446289E1,1.570000052E0,8.850000000E1,2.821593832E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.833524655E1,6.501128737E1,2.550113374E1,2.370554929E1,4.116967773E1,1.059999943E0,8.800000000E1,2.838065145E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.934550223E1,6.501129096E1,2.550116776E1,2.354740195E1,4.101153564E1,1.450000048E0,8.200000000E1,2.855251570E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.034170363E1,6.501129504E1,2.550120305E1,2.372946425E1,4.119360352E1,1.289999962E0,8.040000153E1,2.870031307E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.133367040E1,6.501129923E1,2.550123291E1,2.374343633E1,4.120758057E1,1.059999943E0,7.969999695E1,2.885341564E-1,3.790092468E0,2.500000000E0,3.300000000E1
