"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.282944300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.781407800E-2,1.633381844E-2,1.862239838E-2,-6.060743332E-2,6.547402782E-2
6.279871400E-2,5.195379257E-2,8.646965027E-3,-6.582427025E-2,8.430184530E-2
6.778334900E-2,8.891868591E-2,-1.189327240E-2,-1.209831238E-2,9.052265902E-2
7.276798400E-2,1.016585827E-1,-8.052349091E-2,-1.088500023E-2,1.301421655E-1
7.775262000E-2,9.053921700E-2,-3.691482544E-2,5.462598801E-2,1.120002353E-1
8.273725500E-2,7.736468315E-2,-6.441116333E-3,9.105706215E-2,1.196585590E-1
8.772189100E-2,5.891060829E-2,-3.411293030E-2,9.474468231E-2,1.166649331E-1
9.270652600E-2,4.996442795E-2,-3.548526764E-2,4.352140427E-2,7.516489146E-2
9.769116200E-2,8.830857277E-2,-3.893756866E-2,-2.566337585E-3,9.654597022E-2
1.026757970E-1,9.621262550E-2,-6.610679626E-2,3.134799004E-2,1.208704856E-1
1.076604840E-1,1.289031506E-1,-6.921958923E-2,2.923917770E-2,1.492055739E-1
1.126451200E-1,1.716177464E-1,-8.993148804E-2,4.930090904E-2,1.999272444E-1
1.176297030E-1,2.417975664E-1,-1.427459717E-1,1.369402409E-1,3.124021529E-1
1.226143910E-1,2.825145721E-1,-1.364660263E-1,1.789162159E-1,3.611765110E-1
1.275990260E-1,2.710264921E-1,-1.915111542E-1,1.988110542E-1,3.868561967E-1
1.325836620E-1,2.281589508E-1,-2.009639740E-1,2.431781292E-1,3.893310008E-1
1.375682970E-1,2.344019413E-1,-1.695833206E-1,2.859542370E-1,4.067832327E-1
1.425529320E-1,2.166913748E-1,-1.651201248E-1,2.979998589E-1,4.037619638E-1
1.475375680E-1,1.577974558E-1,-1.201887131E-1,2.444689274E-1,3.148180749E-1
1.525222030E-1,1.438139677E-1,-1.163043976E-1,2.947144508E-1,3.479450786E-1
1.575068390E-1,1.427462101E-1,-9.898948669E-2,3.161334991E-1,3.607156612E-1
1.624914740E-1,1.104772091E-1,-6.644821167E-2,3.237738609E-1,3.484969033E-1
1.674761090E-1,9.188616276E-2,-5.127048492E-2,3.433845043E-1,3.591443266E-1
1.724607450E-1,1.047118902E-1,-8.029937744E-2,4.043886662E-1,4.253736749E-1
1.774453800E-1,1.662048101E-1,-2.141923904E-1,5.101580620E-1,5.777228291E-1
1.824300160E-1,1.479144096E-1,-2.118549347E-1,5.832295418E-1,6.379011556E-1
1.874146510E-1,1.194629669E-1,-1.751537323E-1,4.631681442E-1,5.093868473E-1
1.923992870E-1,6.273436546E-2,-4.497814178E-2,4.337439537E-1,4.405592483E-1
1.973839740E-1,2.451705933E-2,4.441261292E-3,4.918112755E-1,4.924420186E-1
2.023686090E-1,-5.114078522E-4,1.759243011E-2,4.885010719E-1,4.888180156E-1
2.073531930E-1,-2.649950981E-2,7.680988312E-2,4.282410145E-1,4.358811176E-1
2.123378800E-1,-4.878497124E-2,1.459016800E-1,3.708231449E-1,4.014686519E-1
2.173225160E-1,-7.192611694E-2,2.224521637E-1,2.462234497E-1,3.395354453E-1
2.223071510E-1,-7.521152496E-2,2.948036194E-1,1.838228703E-1,3.554670099E-1
2.272917870E-1,-1.313018799E-1,3.422794342E-1,2.798366547E-2,3.676662621E-1
2.322764220E-1,-1.179881096E-1,3.492279053E-1,9.091877937E-2,3.796676814E-1
2.372610570E-1,-2.032527924E-1,3.051118851E-1,9.596848488E-2,3.789655790E-1
