"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.151271600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
6.649755900E-2,2.855777740E-3,3.789138794E-2,1.316070557E-4,3.799907982E-2
7.148240300E-2,3.982782364E-4,8.008790016E-2,-9.329795837E-2,1.229582832E-1
7.646724700E-2,-3.618025780E-2,1.432881355E-1,-1.852073669E-1,2.369436001E-1
8.145209100E-2,-6.129872799E-2,2.421417236E-1,-2.610273361E-1,3.612830173E-1
8.643693400E-2,-5.281293392E-2,3.373475075E-1,-2.908868790E-1,4.485618387E-1
9.142177800E-2,-3.726041317E-2,3.432073593E-1,-3.389711380E-1,4.838192455E-1
9.640662200E-2,3.956067562E-2,3.272528648E-1,-3.566007614E-1,4.856167086E-1
1.013914660E-1,1.027243137E-1,3.240926266E-1,-4.057312012E-1,5.293449942E-1
1.063763090E-1,1.483712196E-1,2.819602489E-1,-4.013528824E-1,5.124448624E-1
1.113611530E-1,1.878218651E-1,3.096973896E-1,-4.495649338E-1,5.773198038E-1
1.163459970E-1,2.487244606E-1,3.577778339E-1,-5.262775421E-1,6.832546283E-1
1.213308410E-1,2.511062622E-1,3.830711842E-1,-6.340942383E-1,7.822233633E-1
1.263156840E-1,2.835997343E-1,3.873422146E-1,-6.759023666E-1,8.290396913E-1
1.313005280E-1,2.860870361E-1,4.256937504E-1,-6.583433151E-1,8.345519049E-1
1.362853200E-1,2.941184044E-1,4.242527485E-1,-6.608581543E-1,8.385878192E-1
1.412701640E-1,3.208966255E-1,4.191634655E-1,-6.977634430E-1,8.749551288E-1
1.462550590E-1,3.747168779E-1,4.308071136E-1,-7.489862442E-1,9.418003513E-1
1.512398510E-1,3.933265209E-1,4.108290672E-1,-8.070669174E-1,9.873415234E-1
1.562247470E-1,4.195156097E-1,4.199678898E-1,-8.695411682E-1,1.052838173E0
1.612095390E-1,3.891508579E-1,4.522204399E-1,-8.952274323E-1,1.075813121E0
1.661943820E-1,3.136513829E-1,4.562256336E-1,-8.605613708E-1,1.023271661E0
1.711792260E-1,2.335069180E-1,4.806158543E-1,-7.332782745E-1,9.073114724E-1
1.761640700E-1,1.872848272E-1,5.032844543E-1,-5.738420486E-1,7.859170092E-1
1.811489140E-1,1.409407854E-1,5.029399395E-1,-3.665924072E-1,6.381245026E-1
1.861337570E-1,8.253729343E-2,5.142607689E-1,-2.091665268E-1,5.612728206E-1
1.911186010E-1,1.212811470E-2,4.877262115E-1,-6.759643555E-3,4.879238069E-1
1.961034450E-1,2.022874355E-2,4.264035225E-1,1.081218719E-1,4.403629245E-1
2.010882890E-1,1.211535931E-2,3.728096485E-1,1.296443939E-1,3.948942704E-1
2.060731320E-1,-5.098164082E-2,3.797378540E-1,8.877563477E-2,3.932951548E-1
2.110579760E-1,-8.400297165E-2,4.219877720E-1,3.611469269E-2,4.317805577E-1
2.160427680E-1,-1.161987782E-1,4.641206264E-1,-4.684162140E-2,4.807330334E-1
2.210276120E-1,-1.223763227E-1,5.482878685E-1,-1.432065964E-1,5.797444958E-1
2.260124550E-1,-8.217048645E-2,6.178276539E-1,-1.970167160E-1,6.536654994E-1
2.309973510E-1,-6.410467625E-2,6.759274006E-1,-2.887773514E-1,7.378208584E-1
2.359821430E-1,-3.500032425E-2,7.045626640E-1,-3.850536346E-1,8.036789607E-1
2.409669870E-1,-6.953763962E-2,6.978952885E-1,-4.509925842E-1,8.338390900E-1
2.459518300E-1,-1.447653770E-2,7.012839317E-1,-4.828624725E-1,8.515661398E-1
2.509366740E-1,5.107927322E-2,6.748161316E-1,-5.165700912E-1,8.513698155E-1
2.559215180E-1,1.107011437E-1,6.331186295E-1,-5.427179337E-1,8.412114465E-1
2.609063620E-1,9.143346548E-2,6.400167942E-1,-4.215173721E-1,7.717891360E-1
2.658912050E-1,1.115540266E-1,6.617560387E-1,-3.598737717E-1,7.614949029E-1
2.708760490E-1,1.351605058E-1,6.630663872E-1,-4.055013657E-1,7.888959080E-1
2.758608930E-1,2.143129706E-1,6.747870445E-1,-4.950475693E-1,8.639095443E-1
2.808457370E-1,2.613462210E-1,6.427075863E-1,-5.619792938E-1,8.928581160E-1
2.858305280E-1,2.362396717E-1,7.013456821E-1,-4.452629089E-1,8.636862894E-1
2.908154240E-1,1.772648096E-1,7.691850662E-1,-3.668289185E-1,8.704205502E-1
2.958002680E-1,1.502903104E-1,8.205072880E-1,-3.470344543E-1,9.034668226E-1
3.007851120E-1,1.386946440E-1,8.299517632E-1,-3.541212082E-1,9.129391894E-1
3.057699030E-1,1.332946420E-1,8.122801781E-1,-3.076152802E-1,8.787455319E-1
3.107547470E-1,1.486344934E-1,7.956073284E-1,-2.059011459E-1,8.351517919E-1
3.157395910E-1,8.590126038E-2,7.817800045E-1,-3.801155090E-2,7.874032512E-1
3.207244340E-1,5.000704527E-2,7.682154179E-1,1.550445557E-1,7.852989539E-1
3.257092780E-1,7.327282429E-2,7.120666504E-1,2.555618286E-1,7.600787259E-1
3.306941220E-1,9.553980827E-2,6.889429092E-1,3.359670639E-1,7.724273786E-1
3.356789660E-1,1.094394922E-1,6.204533577E-1,3.331766129E-1,7.127033232E-1
3.406638090E-1,1.405023336E-1,5.663833618E-1,3.026704788E-1,6.573738944E-1
3.456486530E-1,2.634389102E-1,5.334315300E-1,2.661094666E-1,6.517388318E-1
3.506334970E-1,4.085543752E-1,5.313251019E-1,1.950864792E-1,6.980557110E-1
3.556183410E-1,5.289887786E-1,5.908417702E-1,7.581138611E-2,7.966620937E-1
3.606031840E-1,6.120722294E-1,6.456403732E-1,-6.522178650E-2,8.920413594E-1
3.655879760E-1,6.716961861E-1,8.261487484E-1,-1.925601959E-1,1.082024468E0
3.705728200E-1,6.781243682E-1,8.860056400E-1,-2.289505005E-1,1.138980678E0
3.755576640E-1,5.203802586E-1,7.660140991E-1,-2.113466263E-1,9.498634691E-1
3.805425070E-1,2.682652473E-1,7.801928520E-1,-1.807174683E-1,8.445862494E-1
3.855273510E-1,9.207490087E-2,7.543196678E-1,-1.184244156E-1,7.690905609E-1
3.905121950E-1,5.360203981E-2,6.819841862E-1,-9.102916718E-2,6.901173220E-1
3.954970390E-1,1.334169507E-2,6.202924252E-1,-1.120862961E-1,6.304792077E-1
4.004818820E-1,-3.078424931E-2,5.903906822E-1,-1.265878677E-1,6.045935130E-1
4.054666740E-1,3.238327801E-2,5.469911098E-1,-1.346082687E-1,5.642404957E-1
4.104515700E-1,4.078423977E-2,5.678389072E-1,4.579353333E-2,5.711404613E-1
4.154363620E-1,1.166652739E-1,5.429830551E-1,1.642456055E-1,5.791528323E-1
4.204212050E-1,2.747019231E-1,5.125241280E-1,3.731489182E-1,6.909285371E-1
4.254060490E-1,4.322704375E-1,4.640727043E-1,6.597909927E-1,9.151750434E-1
4.303908930E-1,5.903368592E-1,3.074829578E-1,9.525222778E-1,1.162042197E0
4.353757370E-1,6.791861653E-1,1.828455925E-1,1.157044411E0,1.354059868E0
4.403605800E-1,8.258494735E-1,1.878261566E-3,1.303009987E0,1.542681402E0
4.453454240E-1,9.303259254E-1,-1.636948586E-1,1.398215294E0,1.687396913E0
4.503302680E-1,9.974327087E-1,-3.351936340E-1,1.431386948E0,1.776540282E0
4.553150590E-1,9.817835093E-1,-4.507813454E-1,1.412642479E0,1.778387318E0
4.602999550E-1,8.551295996E-1,-4.845955372E-1,1.403926849E0,1.713794056E0
4.652847990E-1,6.887708306E-1,-4.208390713E-1,1.440532684E0,1.651255642E0
4.702695910E-1,4.707745910E-1,-2.913765907E-1,1.479303360E0,1.579514946E0
4.752544340E-1,1.985617429E-1,-1.253378391E-1,1.572301865E0,1.589738813E0
4.802392780E-1,-2.872328460E-2,5.551242828E-2,1.730786324E0,1.731914534E0
4.852241220E-1,-2.653129101E-1,1.350061893E-1,1.958821297E0,1.981312314E0
4.902089660E-1,-4.388007224E-1,1.829664707E-1,2.241504669E0,2.291367711E0
4.951938090E-1,-5.505859852E-1,1.779747009E-1,2.557147980E0,2.621798183E0
